jobCd,jobNm,jobLrclNm,holland_R,holland_I,holland_A,holland_S,holland_E,holland_C,holland_top3
K000007570,교도관,교육·법률·사회복지·경찰·소방직 및 군인,1.84,2.17,2.22,3.04,2.44,2.77,SCE
K000001175,위관급 장교,교육·법률·사회복지·경찰·소방직 및 군인,2.51,2.62,2.63,3.2,2.89,3.04,SCE
K000007508,부사관,교육·법률·사회복지·경찰·소방직 및 군인,3.02,2.79,2.55,3.2,2.99,3.25,CSR
K000001133,전문의사,보건·의료직,2.04,2.75,2.2,3.41,2.78,2.88,SCE
K000007472,치과의사,보건·의료직,2.56,2.63,2.4,3.48,3.2,3.14,SEC
K000007504,일반의사,보건·의료직,2.37,2.66,2.42,3.39,2.82,2.95,SCE
K000007542,한의사,보건·의료직,2.1,2.66,2.47,3.72,2.85,2.98,SCE
K000001011,수의사,보건·의료직,2.34,2.77,2.3,3.03,2.76,2.81,SCI
K000000993,약사,보건·의료직,1.92,2.48,2.1,3.27,2.64,2.88,SCE
K000007474,한약사,보건·의료직,1.91,2.33,2.18,2.93,2.39,2.8,SCE
K000007490,보건교사,보건·의료직,1.88,2.39,2.08,3.43,2.27,2.84,SCI
K000007494,간호사,보건·의료직,2.2,2.65,2.32,3.62,2.56,3.19,SCI
K000001144,영양사,보건·의료직,2.37,2.51,2.37,2.72,2.82,3.02,CES
K000000830,치과위생사,보건·의료직,2.44,2.39,2.18,2.96,2.25,2.83,SCR
K000000864,재활공학기사(의지보조기기사),보건·의료직,3.32,2.92,2.53,3.0,2.31,2.99,RSC
K000001017,방사선사,보건·의료직,2.49,2.36,1.93,2.87,1.98,2.81,SCR
K000001088,언어치료사,보건·의료직,1.77,2.26,2.55,3.56,2.44,2.86,SCA
K000001186,청능치료사,보건·의료직,2.09,2.11,2.15,2.88,2.1,2.73,SCA
K000001216,예술치료사,보건·의료직,1.91,2.38,2.73,3.42,2.35,2.75,SCA
K000007501,물리치료사,보건·의료직,2.62,2.54,2.18,3.24,2.49,2.85,SCR
K000007537,작업치료사,보건·의료직,2.11,2.26,2.12,3.16,2.28,2.75,SCE
K000007544,임상병리사,보건·의료직,2.34,2.83,1.98,2.64,1.97,2.84,CIS
K000007564,놀이치료사,보건·의료직,1.86,2.48,2.83,3.51,2.77,3.06,SCA
K000007577,치과기공사,보건·의료직,2.79,2.4,2.33,2.47,2.1,2.61,RCS
K000007461,응급구조사,보건·의료직,2.72,2.31,2.23,3.09,2.26,2.84,SCR
K000007492,보건의료정보관리사,보건·의료직,1.39,1.98,1.92,2.26,1.78,2.5,CSI
K000007509,안경사,보건·의료직,2.34,2.17,2.13,2.61,2.5,2.64,CSE
K000007547,안마사,보건·의료직,1.86,1.77,1.58,2.58,1.91,2.05,SCE
K000007576,간호조무사,보건·의료직,2.04,2.29,2.27,2.94,2.28,2.7,SCI
